char,readings
出来上がる,できあがる
曲げる,まげる
交じる,まじる
走り回る,はしりまわる
当てる,あてる
交わる,まじわる
化ける,ばける
回す,まわす
小学校,しょうがっこう
通り,とおり
気を付けて,きをつけて
新しい,あたらしい
高校生,こうこうせい
中学校,ちゅうがっこう
付く,つく
見付ける,みつける
弱虫,よわむし
弱々しい,よわよわしい
欠ける,かける
目医者,めいしゃ
一番目,いちばんめ
仕返し,しかえし
高さ,たかさ
楽しみ,たのしみ
向け,むけ
研究所,けんきゅうしょ;けんきゅうじょ
近道,ちかみち
助かる,たすかる
返る,かえる
楽しむ,たのしむ
決まる,きまる
投げ付ける,なげつける
化かす,ばかす
話,はなし
向く,むく
乗り場,のりば
使い方,つかいかた
仕事,しごと
名,な
負け犬,まけいぬ
勝ち,かち
決定する,けっていする
出会う,であう
苦しむ,くるしむ
気付く,きづく
見送る,みおくる
時々,ときどき
受付,うけつけ
買い物,かいもの
苦手,にがて
白黒,しろくろ
酒好き,さけずき
酒飲み,さけのみ
鳴き声,なきごえ
飲み物,のみもの
聞こえる,きこえる
心配事,しんぱいごと
音読み,おんよみ
東,ひがし
返す,かえす
問題,もんだい
疑問,ぎもん
力士,りきし
宿題,しゅくだい
新宿,しんじゅく
事情,じじょう
人情,にんじょう
情け,なさけ
予想,よそう
回想,かいそう
思想,しそう
飲み会,のみかい
運転手,うんてんしゅ
落ち葉,おちば
父親,ちちおや
母親,ははおや
三番目,さんばんめ
見返る,みかえる
話し方,はなしかた
転ぶ,ころぶ
集まる,あつまる
落とす,おとす
終わり,おわり
終電,しゅうでん
開く,あく
起こる,おこる
心配する,しんぱいする
心配,しんぱい
鳴る,なる
歌う,うたう
勝手,かって
初めに,はじめに
初めて,はじめて
神風,かみかぜ
手伝う,てつだう
左利き,ひだりきき
体育,たいいく
右利き,みぎきき
育てる,そだてる
追い付く,おいつく
戦う,たたかう
追いかける,おいかける
注文する,ちゅうもんする
大好き,だいすき
伝わる,つたわる
放れる,はなれる
整然,せいぜん
入館料,にゅうかんりょう
料金,りょうきん
暗い,くらい
暗殺,あんさつ
暗記,あんき
様,さま
様々,さまざま
皆様,みなさま
目標,もくひょう
橋,はし
殺す,ころす
殺人,さつじん
自殺,じさつ
全然,ぜんぜん
当然,とうぜん
自然,しぜん
